iter	Passed	Remaining
606	29631	19184
607	29685	19139
608	29719	19081
609	29783	19041
610	29822	18986
611	29856	18928
612	29907	18881
613	29940	18822
614	29976	18766
615	30040	18726
616	30074	18668
617	30114	18614
618	30172	18571
619	30234	18530
620	30292	18487
621	30332	18433
622	30394	18392
623	30447	18346
624	30492	18295
625	30551	18252
626	30608	18208
627	30644	18152
628	30677	18094
629	30711	18037
630	30746	17980
631	30809	17939
632	30844	17883
633	30903	17840
634	30942	17785
635	30977	17729
636	31035	17685
637	31093	17642
638	31138	17591
639	31188	17543
640	31237	17494
641	31282	17444
642	31335	17398
643	31396	17355
644	31452	17311
645	31507	17265
646	31565	17221
647	31623	17178
648	31658	17122
649	31706	17072
650	31754	17023
651	31813	16980
652	31874	16938
653	31932	16893
654	31990	16850
655	32040	16801
656	32091	16754
657	32150	16710
658	32200	16662
659	32263	16620
660	32303	16567
661	32356	16520
662	32408	16473
663	32442	16416
664	32504	16374
665	32562	16330
666	32601	16276
667	32636	16220
668	32695	16176
669	32755	16133
670	32803	16083
671	32865	16041
672	32927	15998
673	32960	15942
674	32996	15887
675	33037	15834
676	33095	15790
677	33130	15734
678	33192	15691
679	33228	15636
680	33290	15594
681	33330	15541
682	33383	15494
683	33440	15449
684	33474	15393
685	33535	15349
686	33572	15295
687	33631	15251
688	33683	15203
689	33745	15161
690	33797	15113
691	33831	15057
692	33890	15013
693	33951	14970
694	33991	14917
695	34028	14863
696	34063	14808
697	34098	14753
698	34133	14698
699	34195	14655
700	34228	14599
701	34289	14555
702	34347	14510
703	34405	14465
704	34439	14410
705	34503	14368
706	34547	14317
707	34597	14269
708	34646	14220
709	34691	14169
710	34750	14125
711	34809	14080
712	34871	14036
713	34905	13981
714	34950	13931
715	34993	13880
716	35047	13833
717	35084	13779
718	35141	13733
719	35177	13680
720	35237	13635
721	35274	13582
722	35318	13531
723	35358	13479
724	35392	13424
725	35443	13376
726	35486	13325
727	35546	13281
728	35608	13237
729	35667	13192
730	35705	13139
731	35757	13091
732	35801	13040
733	35837	12987
734	35895	12942
735	35934	12889
736	35993	12844
737	36051	12798
738	36095	12748
